Sepse:
(13, 'A021', 'NaN', 'N', 'S', 'A02.1 Septicemia p/salmonela', '5')
(23, 'A039', 'NaN', 'N', 'S', 'A03.9 Shiguelose NE', '5')
(116, 'A207', 'NaN', 'N', 'S', 'A20.7 Peste septicemica', '5')
(124, 'A217', 'NaN', 'N', 'S', 'A21.7 Tularemia generalizada', '5')
(131, 'A227', 'NaN', 'N', 'S', 'A22.7 Septicemia carbunculosa', '5')
(140, 'A239', 'NaN', 'N', 'S', 'A23.9 Brucelose NE', '5')
(143, 'A241', 'NaN', 'N', 'S', 'A24.1 Melioidose aguda e fulminante', '5')
(153, 'A267', 'NaN', 'N', 'S', 'A26.7 Septicemia p/Erysipelothrix', '5')
(161, 'A280', 'NaN', 'N', 'S', 'A28.0 Pasteurelose', '5')
(163, 'A282', 'NaN', 'N', 'S', 'A28.2 Yersiniose extra-intestinal', '5')
(183, 'A327', 'NaN', 'N', 'S', 'A32.7 Septicemia listeriotica', '5')
(205, 'A392', 'NaN', 'N', 'S', 'A39.2 Meningococcemia aguda', '5')
(206, 'A393', 'NaN', 'N', 'S', 'A39.3 Meningococcemia cronica', '5')
(207, 'A394', 'NaN', 'N', 'S', 'A39.4 Meningococcemia NE', '5')
(211, 'A40', 'NaN', 'S', 'N', 'A40   Septicemia estreptococica', '5')
(212, 'A400', 'NaN', 'N', 'S', 'A40.0 Septicemia p/Streptococcus do grupo A', '5')
(213, 'A401', 'NaN', 'N', 'S', 'A40.1 Septicemia p/Streptococcus do grupo B', '5')
(214, 'A402', 'NaN', 'N', 'S', 'A40.2 Septicemia p/Streptococcus do grupo D', '5')
(215, 'A403', 'NaN', 'N', 'S', 'A40.3 Septicemia p/Streptococcus pneumonia', '5')
(216, 'A408', 'NaN', 'N', 'S', 'A40.8 Outr septicemias estreptococicas', '5')
(217, 'A409', 'NaN', 'N', 'S', 'A40.9 Septicemia estreptococica NE', '5')
(218, 'A41', 'NaN', 'S', 'N', 'A41   Outr septicemias', '5')
(219, 'A410', 'NaN', 'N', 'S', 'A41.0 Septicemia p/Staphylococcus aureus', '5')
(220, 'A411', 'NaN', 'N', 'S', 'A41.1 Septicemia p/outr estafilococos espec', '5')
(221, 'A412', 'NaN', 'N', 'S', 'A41.2 Septicemia p/estafilococos NE', '5')
(222, 'A413', 'NaN', 'N', 'S', 'A41.3 Septicemia p/Haemophilus influenzae', '5')
(223, 'A414', 'NaN', 'N', 'S', 'A41.4 Septicemia p/anaerobios', '5')
(224, 'A415', 'NaN', 'N', 'S', 'A41.5 Septicemia p/outr microorg gram-negativos', '5')
